time_slot,task_id,device_id,mode,server_id,partial_ratio,latency_s,energy_j,reliability,success,deadline_violation,failed_due_to_battery,failed_due_to_channel,failed_due_to_server,data_size_mb,output_size_mb,cpu_cycles_mi,deadline_s,priority,arrival_time,tx_time_s,rx_time_s,queue_delay_s,edge_compute_time_s,local_compute_time_s,execution_overhead_s,policy_overhead_s,prediction_overhead_s,fuzzy_overhead_s,drl_overhead_s,simulator_apply_overhead_s,online_overhead_s
0,28,1,edge,3,1.0,0.0952977322063483,0.02493308535237973,0.9113896173226939,1,0,0,0,0,1.8941198012002352,0.773728770382907,685.3400940621457,4.05051940817874,1,0,0.048685764977986476,0.019887642295750685,0.0,0.026724324932611142,0.0,0.06857340727373716,0.00024263800000312585,0.0,0.0,0.0,2.7020000004540634e-05,0.0002696580000076665
0,45,2,partial,0,0.75,0.14048292672587562,0.34148619505653544,0.8830150922633367,1,0,0,0,0,4.503259794492488,0.7737882678307703,672.295221555968,5.958815490832037,4,0,0.0852337818773412,0.014645590849587295,0.0,0.039752617448173544,0.14048292672587562,0.09987937272692848,0.0001702440000030947,0.0,0.0,0.0,2.111099999524413e-05,0.00019135499999833883
0,77,3,edge,3,1.0,0.24473818846617232,0.10149523079076443,0.9307108195638927,1,0,0,0,0,7.636176881103274,0.888473206768801,951.8357003621903,2.8640139394147193,2,0,0.1620438537119035,0.018853887827148967,0.026724324932611142,0.037116121994508706,0.0,0.20762206647166362,0.00015728500000022905,0.0,0.0,0.0,1.378000001750479e-05,0.00017106500001773384
0,83,4,edge,3,1.0,0.5319615767061879,0.19102066228659317,0.854677456034327,1,0,0,0,0,7.20896817173619,0.6868529365044378,5164.909615613634,3.524400460160182,2,0,0.24351757634763674,0.023201761808380305,0.06384044692711985,0.20140179162305105,0.0,0.3305597850831369,0.00019413600000461884,0.0,0.0,0.0,1.3345999974490041e-05,0.00020748199997910888
0,137,6,partial,4,0.75,0.26224165189476856,0.48029295502461533,0.9577218505920878,1,0,0,0,0,7.201983348814764,0.6432067453970054,831.2557968032374,2.8853813394785877,3,0,0.19853693495663002,0.017731267845206372,0.0,0.04597344909293219,0.25776403352274163,0.2162682028018364,0.000167151999988846,0.0,0.0,0.0,2.0816000017020997e-05,0.000187968000005867
0,153,7,partial,2,0.75,0.1479549936873136,0.2802336643553445,0.9360654574890347,1,0,0,0,0,3.54448267283419,0.6670617637152833,623.2281466909494,2.394902948759073,4,0,0.07029734109499743,0.013229763738082595,0.0,0.049932608982789305,0.1479549936873136,0.08352710483308003,0.00014666300000953925,0.0,0.0,0.0,1.543199999787248e-05,0.00016209500000741173
0,168,8,edge,0,1.0,0.3107916814980946,0.06486335537652177,0.9521418337415334,1,0,0,0,0,7.927712986825377,0.04852316653653809,2014.9699626031093,7.691707762687128,3,0,0.11149718643086226,0.0006824410210777141,0.039752617448173544,0.15885943659798107,0.0,0.15193224490011353,0.00014453299999672709,0.0,0.0,0.0,1.134199999341945e-05,0.00015587499999014653
0,229,11,edge,1,1.0,0.3202684990836314,0.051325359862202415,0.9024214544259318,0,0,0,1,0,2.8940211404537353,0.6153825824064899,2919.3379123343702,4.720989231331709,4,0,0.15713122716636904,0.03341227159632312,0.0,0.12972500032093928,0.0,0.19054349876269217,0.00014384199999994962,0.0,0.0,0.0,1.128499999936139e-05,0.000155126999999311
0,262,13,edge,1,1.0,0.5596980644977718,0.08936257617108045,0.8861142828656886,1,0,0,0,0,2.3971641010330877,0.7604791724098414,5961.911439303701,5.623359810219133,5,0,0.12529741183958734,0.03974949901001759,0.12972500032093928,0.2649261533272277,0.0,0.29477191117054424,0.00015594999999279935,0.0,0.0,0.0,1.1824000011984026e-05,0.00016777400000478337
0,272,13,edge,4,1.0,0.5053256123305093,0.04479716237660032,0.9669704016659878,1,0,0,0,0,1.9281949047996272,0.8611934979248222,4997.026263912096,2.913881622453874,5,0,0.06281117604308982,0.028053479588953417,0.04597344909293219,0.36848750760553395,0.0,0.13683810472497543,0.0001465390000134903,0.0,0.0,0.0,1.1607000004687507e-05,0.0001581460000181778
